Q,S
0.3942712721145746, 0.11095890410958903
0.8188711036225779, 0.16058217923935145
1.046335299073294, 0.2222260148557898
1.197978096040438, 0.3167465628009953
1.3192923336141533, 0.4461986175955158
1.4254422914911542, 0.5732876712328766
1.5012636899747263, 0.7253424657534245
1.561920808761584, 0.8897260273972601
1.6377422072451557, 1.043835616438356
1.6680707666385846, 1.1876712328767123
1.7438921651221566, 1.4280821917808217
1.8045492839090143, 1.5657534246575342
1.834877843302443, 1.65
1.8803706823925863, 1.713698630136986
1.8955349620893007, 1.7506849315068491
1.9561920808761584, 1.7815068493150683
2.016849199663016, 1.7794520547945203
2.0775063184498737, 1.7383561643835614
2.1229991575400167, 1.6726027397260272
2.198820556023589, 1.5618835658243255
2.2898062342038754, 1.4529794562352845
2.395956192080876, 1.3173630178791202
2.5172704296545914, 1.2082191780821916
2.653748946925021, 1.093390415139394
2.759898904802022, 1.0173630178791202
2.8963774220724514, 0.9392808260982983
3.0176916596461667, 0.8694178123996682
3.123841617523168, 0.8427054836325448
3.2451558550968826, 0.838595894591449
3.336141533277169, 0.8570890452763805
3.472620050547599, 0.8838013740435038
3.624262847514743, 0.9064041137695311
3.8213984835720303, 0.9207876754133668
4.06402695871946, 0.910513702810627
4.230834035383319, 0.8858561685640517
4.4582982308340355, 0.8509246617147367
4.670598146588037, 0.8159931548654216
4.928390901432182, 0.8036643877421339
5.155855096882898, 0.8221575384270654
5.413647851727043, 0.8591438397969284
5.6714406065711875, 0.9002397302078873
5.959561920808762, 0.9372260315777503
6.247683235046336, 0.9680479493859695
6.626790227464196, 0.9988698671941887
6.9907329401853415, 1.0338013740435037
7.369839932603202, 1.0728424699339147
7.67312552653749, 1.1057191822626817
8.006739679865206, 1.1262671274681613
8.416175231676496, 1.1221575384270654
8.780117944397642, 1.09750000418049
9.144060657118787, 1.058458908290079
9.598989048020218, 1.0070890452763805
10.008424599831509, 0.9598287713037778
10.402695871946083, 0.9228424699339147
10.857624262847514, 0.9043493192489832
11.206402695871946, 0.9064041137695311
11.540016849199663, 0.9187328808928188
11.964616680707666, 0.9433904151393941
12.449873631002527, 0.9742123329476133
12.995787700084247, 1.0111986343174764
13.572030328559393, 1.0420205521256956
13.90564448188711, 1.0481849356873394
14.345408593091827, 1.0461301411667914
14.785172704296546, 1.0379109630845997
15.194608256107834, 1.021472606920216
15.573715248525694, 1.0070890452763805
15.983150800336984, 0.9968150726736408
16.422914911541703, 0.9824315110298051
16.771693344566135, 0.9783219219887093
17.27211457455771, 0.9701027439065174
18.015164279696716, 0.9721575384270654